notice_id,title,location,suburb,suburb_source,lga,lga_source,start_date,end_date,end_date_basis,date_parse_status,current_notice,index_section,index_title,location_description,date_text,page_updated_date,source_url,source_page_url,raw_html_file,scraped_at,scrape_date,is_designated_area
public-notice-melbourne-parliament-precinct-saturday-26-april-2025,Public notice: Melbourne Parliament precinct - Saturday 26 April 2025,Melbourne Parliament precinct,,,,,2025-04-26,2025-04-26,single_day_notice,parsed,FALSE,previous,Saturday 26 April 2025: Melbourne Parliament precinct,,"This declaration will be in place on 26 April 2025, between the times of 8am and 7.59pm.",2025-05-05,https://www.police.vic.gov.au/public-notice-melbourne-parliament-precinct-saturday-26-april-2025,https://www.police.vic.gov.au/public-notices,data-raw/vicpol-public-notices/20260925-142915/public-notice-melbourne-parliament-precinct-saturday-26-april-2025.html,2026-09-25T04:29:15Z,2026-09-25,TRUE
public-notice-woodgrove-shopping-centre-and-surrounding-area-tuesday-29-april-2025,Public notice: Woodgrove Shopping Centre and surrounding area - Tuesday 29 April 2025,Woodgrove Shopping Centre and surrounding area,Woodgrove,location_keyword,,,2025-04-29,2025-04-29,single_day_notice,parsed,FALSE,previous,Tuesday 29 April 2025: Woodgrove Shopping Centre and surrounding area,,This declaration will be in place on Tuesday 29 April 2025 between the times of 1pm and 9pm.,2025-07-08,https://www.police.vic.gov.au/public-notice-woodgrove-shopping-centre-and-surrounding-area-tuesday-29-april-2025,https://www.police.vic.gov.au/public-notices,data-raw/vicpol-public-notices/20260925-142915/public-notice-woodgrove-shopping-centre-and-surrounding-area-tuesday-29-april-2025.html,2026-09-25T04:29:15Z,2026-09-25,TRUE
public-notice-melbourne-friday-9-may-2025,Public notice: Melbourne - Friday 9 May 2025,Melbourne,Melbourne,simple_location_title,,,2025-05-09,2025-05-09,single_day_notice,parsed,FALSE,previous,Friday 9 May 2025: Melbourne,,This declaration will be in place between 11.59am and 11.59pm on Friday 9 May 2025.,2025-07-08,https://www.police.vic.gov.au/public-notice-melbourne-friday-9-may-2025,https://www.police.vic.gov.au/public-notices,data-raw/vicpol-public-notices/20260925-142915/public-notice-melbourne-friday-9-may-2025.html,2026-09-25T04:29:15Z,2026-09-25,TRUE
public-notice-westfield-shopping-centre-doncaster-6-june-2025,"Public notice: Westfield Shopping Centre, Doncaster - Friday 6 June 2025","Westfield Shopping Centre, Doncaster",Doncaster,title_after_comma,,,2025-06-06,2025-06-06,single_day_notice,parsed,FALSE,previous,"Friday 6 June 2025: Westfield Shopping Centre, Doncaster",,This declaration will be in place from 1-9pm on 6 June 2025.,2025-07-08,https://www.police.vic.gov.au/public-notice-westfield-shopping-centre-doncaster-6-june-2025,https://www.police.vic.gov.au/public-notices,data-raw/vicpol-public-notices/20260925-142915/public-notice-westfield-shopping-centre-doncaster-6-june-2025.html,2026-09-25T04:29:15Z,2026-09-25,TRUE
public-notice-pacific-werribee-shopping-centre-thursday-3-july-2025,Public notice: Pacific Werribee Shopping Centre - Thursday 3 July 2025,Pacific Werribee Shopping Centre,Werribee,location_keyword,,,2025-07-03,2025-07-03,single_day_notice,parsed,FALSE,previous,Thursday 3 July 2025: Pacific Werribee Shopping Centre,,"This declaration will be in place from 2-10pm on Thursday, 3 July 2025.",2025-07-08,https://www.police.vic.gov.au/public-notice-pacific-werribee-shopping-centre-thursday-3-july-2025,https://www.police.vic.gov.au/public-notices,data-raw/vicpol-public-notices/20260925-142915/public-notice-pacific-werribee-shopping-centre-thursday-3-july-2025.html,2026-09-25T04:29:15Z,2026-09-25,TRUE
public-notice-melbourne-central-wednesday-9-july-2025,Public notice: Melbourne Central - Wednesday 9 July 2025,Melbourne Central,Melbourne Central,simple_location_title,,,2025-07-09,2025-07-09,single_day_notice,parsed,FALSE,previous,Wednesday 9 July 2025: Melbourne Central,,This declaration will be in place from 2-11pm on Wednesday 9 July 2025.,2025-06-10,https://www.police.vic.gov.au/public-notice-melbourne-central-wednesday-9-july-2025,https://www.police.vic.gov.au/public-notices,data-raw/vicpol-public-notices/20260925-142915/public-notice-melbourne-central-wednesday-9-july-2025.html,2026-09-25T04:29:15Z,2026-09-25,TRUE
public-notice-southern-cross-station-wednesday-9-july-2025,Public notice: Southern Cross Station - Wednesday 9 July 2025,Southern Cross Station,,,,,2025-07-09,2025-07-09,single_day_notice,parsed,FALSE,previous,Wednesday 9 July 2025: Southern Cross Station,,This declaration will be in place from 2-11pm on Wednesday 9 July 2025.,2025-06-10,https://www.police.vic.gov.au/public-notice-southern-cross-station-wednesday-9-july-2025,https://www.police.vic.gov.au/public-notices,data-raw/vicpol-public-notices/20260925-142915/public-notice-southern-cross-station-wednesday-9-july-2025.html,2026-09-25T04:29:15Z,2026-09-25,TRUE
public-notice-corio-10-july-2025,Public notice: Corio - Thursday 10 July 2025,Corio,Corio,simple_location_title,,,2025-07-10,2025-07-10,single_day_notice,parsed,FALSE,previous,Thursday 10 July 2025: Corio,,This declaration will be in place from 10am to 10pm on 10 July 2025.,2025-07-08,https://www.police.vic.gov.au/public-notice-corio-10-july-2025,https://www.police.vic.gov.au/public-notices,data-raw/vicpol-public-notices/20260925-142915/public-notice-corio-10-july-2025.html,2026-09-25T04:29:15Z,2026-09-25,TRUE
public-notice-frankston-central-business-district-and-frankston-railway-station-thursday-10-july,Public notice: Frankston Central Business District including Frankston Railway Station - Thursday 10 July 2025,Frankston Central Business District including Frankston Railway Station,Frankston,location_keyword,,,2025-07-10,2025-07-10,single_day_notice,parsed,FALSE,previous,Thursday 10 July 2025: Frankston Central Business District including Frankston Railway Station,,This declaration will be in place from 11am to 11.59pm on 10 July 2025.,2025-07-08,https://www.police.vic.gov.au/public-notice-frankston-central-business-district-and-frankston-railway-station-thursday-10-july,https://www.police.vic.gov.au/public-notices,data-raw/vicpol-public-notices/20260925-142915/public-notice-frankston-central-business-district-and-frankston-railway-station-thursday-10-july.html,2026-09-25T04:29:15Z,2026-09-25,TRUE
public-notice-westfield-airport-west,Public notice: Westfield Airport West - Thursday 10 and Friday 11 July 2025,Westfield Airport West,Westfield Airport West,simple_location_title,,,2025-07-10,2025-07-11,notice_date_range_shared_month,parsed,FALSE,previous,Thursday 10 and Friday 11 July 2025: Westfield Airport West,,"This declaration will be in place from 1pm to 9pm, on both 10 and 11 July.",2025-07-08,https://www.police.vic.gov.au/public-notice-westfield-airport-west,https://www.police.vic.gov.au/public-notices,data-raw/vicpol-public-notices/20260925-142915/public-notice-westfield-airport-west.html,2026-09-25T04:29:15Z,2026-09-25,TRUE
