notice_id,title,location,suburb,suburb_source,lga,lga_source,start_date,end_date,end_date_basis,date_parse_status,current_notice,index_section,index_title,location_description,date_text,page_updated_date,source_url,source_page_url,raw_html_file,scraped_at,scrape_date,is_designated_area
public-notice-melbourne-cbd-saturday-22-november-2025,Public notice: Melbourne CBD - Saturday 22 November 2025,Melbourne CBD,Melbourne,location_keyword,,,2025-11-22,2025-11-22,single_day_notice,parsed,FALSE,previous,Saturday 22 November 2025: Melbourne CBD,,This declaration will be in place from 8.00am to 8.00pm on Saturday 22 November.,2025-11-19,https://www.police.vic.gov.au/public-notice-melbourne-cbd-saturday-22-november-2025,https://www.police.vic.gov.au/public-notices,data-raw/vicpol-public-notices/20260925-142915/public-notice-melbourne-cbd-saturday-22-november-2025.html,2026-09-25T04:29:15Z,2026-09-25,TRUE
public-notice-westfield-knox-shopping-centre-thursday-27-november-2025,Public notice: Westfield Knox Shopping Centre - Thursday 27 November 2025,Westfield Knox Shopping Centre,Knox,location_keyword,,,2025-11-27,2025-11-27,single_day_notice,parsed,FALSE,previous,Thursday 27 November 2025: Westfield Knox Shopping Centre,,This declaration will be in place from 12pm to 11:59pm on Thursday 27 November.,2025-11-05,https://www.police.vic.gov.au/public-notice-westfield-knox-shopping-centre-thursday-27-november-2025,https://www.police.vic.gov.au/public-notices,data-raw/vicpol-public-notices/20260925-142915/public-notice-westfield-knox-shopping-centre-thursday-27-november-2025.html,2026-09-25T04:29:15Z,2026-09-25,TRUE
public-notice-watergardens-railway-station-and-surrounds-thursday-4-december-2025,Public notice: Watergardens Railway Station and surrounds - Thursday 4 December 2025,Watergardens Railway Station and surrounds,Watergardens,location_keyword,,,2025-12-04,2025-12-04,single_day_notice,parsed,FALSE,previous,Thursday 4 December 2025: Watergardens Railway Station and surrounds,,This declaration will be in place from 1.00pm to 9.00pm on Thursday 4 December.,2025-12-05,https://www.police.vic.gov.au/public-notice-watergardens-railway-station-and-surrounds-thursday-4-december-2025,https://www.police.vic.gov.au/public-notices,data-raw/vicpol-public-notices/20260925-142915/public-notice-watergardens-railway-station-and-surrounds-thursday-4-december-2025.html,2026-09-25T04:29:15Z,2026-09-25,TRUE
public-notice-dendy-park-brighton-east-tuesday-9-december-2025,"Public notice: Dendy Park, Brighton East - Tuesday 9 December 2025","Dendy Park, Brighton East",Brighton East,title_after_comma,,,2025-12-09,2025-12-09,single_day_notice,parsed,FALSE,previous,"Tuesday 9 December 2025 - Dendy Park, Brighton East",,This declaration will be in place from 4pm to 11:59pm on Tuesday 9 December 2025.,2025-12-05,https://www.police.vic.gov.au/public-notice-dendy-park-brighton-east-tuesday-9-december-2025,https://www.police.vic.gov.au/public-notices,data-raw/vicpol-public-notices/20260925-142915/public-notice-dendy-park-brighton-east-tuesday-9-december-2025.html,2026-09-25T04:29:15Z,2026-09-25,TRUE
public-notice-corio-village-shopping-centre-and-surrounding-area-monday-15-december-2025,Public notice: Corio Village Shopping Centre and surrounding area - Monday 15 December 2025,Corio Village Shopping Centre and surrounding area,Corio Village,location_keyword,,,2025-12-15,2025-12-15,single_day_notice,parsed,FALSE,previous,Monday 15 December 2025 - Corio Village Shopping Centre,,"This declaration will be in place from 10am to 10pm, on Monday 15 December 2025.",2025-12-05,https://www.police.vic.gov.au/public-notice-corio-village-shopping-centre-and-surrounding-area-monday-15-december-2025,https://www.police.vic.gov.au/public-notices,data-raw/vicpol-public-notices/20260925-142915/public-notice-corio-village-shopping-centre-and-surrounding-area-monday-15-december-2025.html,2026-09-25T04:29:15Z,2026-09-25,TRUE
public-notice-geelong-cbd-and-surrounding-area-monday-15-december-2025,Public notice: Geelong CBD and surrounding area - Monday 15 December 2025,Geelong CBD and surrounding area,Geelong,location_keyword,,,2025-12-15,2025-12-15,single_day_notice,parsed,FALSE,previous,Monday 15 December 2025 - Geelong CBD,,"This declaration will be in place from 10am to 10pm, on Monday 15 December 2025.",2025-12-05,https://www.police.vic.gov.au/public-notice-geelong-cbd-and-surrounding-area-monday-15-december-2025,https://www.police.vic.gov.au/public-notices,data-raw/vicpol-public-notices/20260925-142915/public-notice-geelong-cbd-and-surrounding-area-monday-15-december-2025.html,2026-09-25T04:29:15Z,2026-09-25,TRUE
public-notice-waurn-ponds-shopping-centre-and-surrounding-area-monday-15-december-2025,Public notice: Waurn Ponds Shopping Centre and surrounding area - Monday 15 December 2025,Waurn Ponds Shopping Centre and surrounding area,Waurn Ponds,location_keyword,,,2025-12-15,2025-12-15,single_day_notice,parsed,FALSE,previous,Monday 15 December 2025 - Waurn Ponds Shopping Centre,,"This declaration will be in place from 10am to 10pm, on Monday 15 December 2025.",2025-12-05,https://www.police.vic.gov.au/public-notice-waurn-ponds-shopping-centre-and-surrounding-area-monday-15-december-2025,https://www.police.vic.gov.au/public-notices,data-raw/vicpol-public-notices/20260925-142915/public-notice-waurn-ponds-shopping-centre-and-surrounding-area-monday-15-december-2025.html,2026-09-25T04:29:15Z,2026-09-25,TRUE
public-notice-geelong-cbd-and-surrounds-nye-wednesday-31-december-2025,Public notice: Geelong CBD and surrounds - NYE Wednesday 31 December 2025,Geelong CBD and surrounds - NYE,Geelong,location_keyword,,,2025-12-31,2026-01-01,notice_date_range,parsed,FALSE,previous,Wednesday 31 December 2025 NYE- Geelong CBD,,This declaration will be in place from 1.00pm Wednesday 31 December 2025 to 09.00am Thursday 1 January 2026.,2025-12-24,https://www.police.vic.gov.au/public-notice-geelong-cbd-and-surrounds-nye-wednesday-31-december-2025,https://www.police.vic.gov.au/public-notices,data-raw/vicpol-public-notices/20260925-142915/public-notice-geelong-cbd-and-surrounds-nye-wednesday-31-december-2025.html,2026-09-25T04:29:15Z,2026-09-25,TRUE
public-notice-st-kilda-entertainment-precinct-and-surrounds-wednesday-31-december-2025,Public notice: St Kilda Entertainment Precinct and surrounds - Wednesday 31 December 2025,St Kilda Entertainment Precinct and surrounds,,,,,2025-12-31,2026-01-01,notice_date_range,parsed,FALSE,previous,Wednesday 31 December 2025 NYE- St Kilda,,This declaration will be in place from 5.00pm Wednesday 31 December 2025 to 05.00am Thursday 1 January 2026.,2025-12-11,https://www.police.vic.gov.au/public-notice-st-kilda-entertainment-precinct-and-surrounds-wednesday-31-december-2025,https://www.police.vic.gov.au/public-notices,data-raw/vicpol-public-notices/20260925-142915/public-notice-st-kilda-entertainment-precinct-and-surrounds-wednesday-31-december-2025.html,2026-09-25T04:29:15Z,2026-09-25,TRUE
public-notice-st-albans-railway-station-and-cbd-sunday-18-january-2026,Public notice: St Albans Lunar Festival - St Albans Railway Station and CBD - Sunday 18 January 2026,St Albans Lunar Festival - St Albans Railway Station and CBD,St Albans Lunar Festival - St Albans,location_keyword,,,2026-01-18,2026-01-18,single_day_notice,parsed,FALSE,previous,St Albans Lunar Festival - St Albans Railway Station and CBD Sunday 18 January 2026,,"This declaration will be in place from 9am to 11pm, on Sunday 18 January 2026, and relates to Operation Hyperion - St Albans Lunar Festival.",2026-01-15,https://www.police.vic.gov.au/public-notice-st-albans-railway-station-and-cbd-sunday-18-january-2026,https://www.police.vic.gov.au/public-notices,data-raw/vicpol-public-notices/20260925-142915/public-notice-st-albans-railway-station-and-cbd-sunday-18-january-2026.html,2026-09-25T04:29:15Z,2026-09-25,TRUE
public-notice-dandenong-square-shopping-complex-friday-23-january-2026,"Public notice: Dandenong Square Shopping Complex - Friday 23 January, 2026",Dandenong Square Shopping Complex,,,,,2026-01-23,2026-01-23,single_day_notice,parsed,FALSE,previous,Dandenong Square Shopping Complex - Friday 23 January 2026,,"This declaration will be in place from 8am to 10pm, on Friday 23 January, 2026.",2026-01-19,https://www.police.vic.gov.au/public-notice-dandenong-square-shopping-complex-friday-23-january-2026,https://www.police.vic.gov.au/public-notices,data-raw/vicpol-public-notices/20260925-142915/public-notice-dandenong-square-shopping-complex-friday-23-january-2026.html,2026-09-25T04:29:15Z,2026-09-25,TRUE
public-notice-melbourne-cbd-and-vicinity-sunday-30-november-2025-friday-9-january-2026,Public notice: Melbourne CBD and surrounds - Sunday 30 November 2025 to Friday 9 January 2026,Melbourne CBD and surrounds - Sunday 30 November 20,Melbourne,location_keyword,,,2026-01-25,2026-01-09,notice_date_range_shared_month,needs_review_shared_month_range,FALSE,previous,Sunday 30 November 2025 to Friday 9 January 2026 - Melbourne CBD,,The Declaration declared the area referred to as “the Melbourne CBD and Vicinity” as a designated area from 12.00am 30 November 2025 to 11.59pm 29 May 2026.,2026-01-09,https://www.police.vic.gov.au/public-notice-melbourne-cbd-and-vicinity-sunday-30-november-2025-friday-9-january-2026,https://www.police.vic.gov.au/public-notices,data-raw/vicpol-public-notices/20260925-142915/public-notice-melbourne-cbd-and-vicinity-sunday-30-november-2025-friday-9-january-2026.html,2026-09-25T04:29:15Z,2026-09-25,TRUE
public-notice-mid-valley-shopping-centre-and-morwell-cbd-tuesday-27-january-2026,Public notice: Mid Valley Shopping Centre and Morwell CBD - Tuesday 27 January 2026,Mid Valley Shopping Centre and Morwell CBD,Mid Valley,location_keyword,,,2026-01-27,2026-01-27,single_day_notice,parsed,FALSE,previous,Mid Valley Shopping Centre and Morwell CBD - Tuesday 27 January 2026,,"This declaration will be in place from 10am to 6pm, on Tuesday 27 January 2026.",2026-01-20,https://www.police.vic.gov.au/public-notice-mid-valley-shopping-centre-and-morwell-cbd-tuesday-27-january-2026,https://www.police.vic.gov.au/public-notices,data-raw/vicpol-public-notices/20260925-142915/public-notice-mid-valley-shopping-centre-and-morwell-cbd-tuesday-27-january-2026.html,2026-09-25T04:29:15Z,2026-09-25,TRUE
public-notice-sunshine-railway-station-sunshine-market-place-sunshine-plaza-shopping-centre-and,"Public notice: Sunshine Railway Station, Sunshine Market Place, Sunshine Plaza Shopping Centre and Sunshine CBD - Sunday 8 February 2026","Sunshine Railway Station, Sunshine Market Place, Sunshine Plaza Shopping Centre and Sunshine CBD",Sunshine,location_keyword,,,2026-02-08,2026-02-08,single_day_notice,parsed,FALSE,previous,"Sunshine Railway Station, Sunshine Market Place, Sunshine Plaza Shopping Centre and Sunshine CBD - Sunday 8 February 2026",,"This declaration will be in place from 12pm to 10pm, on Sunday 8 February 2026.",2026-02-06,https://www.police.vic.gov.au/public-notice-sunshine-railway-station-sunshine-market-place-sunshine-plaza-shopping-centre-and,https://www.police.vic.gov.au/public-notices,data-raw/vicpol-public-notices/20260925-142915/public-notice-sunshine-railway-station-sunshine-market-place-sunshine-plaza-shopping-centre-and.html,2026-09-25T04:29:15Z,2026-09-25,TRUE
public-notice-mid-valley-shopping-centre-and-morwell-cbd-monday-9-february-2026,Public notice: Mid Valley Shopping Centre and Morwell CBD - Monday 9 February 2026,Mid Valley Shopping Centre and Morwell CBD,Mid Valley,location_keyword,,,2026-02-09,2026-02-09,single_day_notice,parsed,FALSE,previous,Mid Valley Shopping Centre and Morwell CBD - Monday 9 February 2026,,"This declaration will be in place from 10am to 6pm, on Monday 9 February 2026.",2026-01-20,https://www.police.vic.gov.au/public-notice-mid-valley-shopping-centre-and-morwell-cbd-monday-9-february-2026,https://www.police.vic.gov.au/public-notices,data-raw/vicpol-public-notices/20260925-142915/public-notice-mid-valley-shopping-centre-and-morwell-cbd-monday-9-february-2026.html,2026-09-25T04:29:15Z,2026-09-25,TRUE
public-notice-st-kilda-entertainment-precinct-sunday-15-february-2026,Public notice: St Kilda Entertainment Precinct - Sunday 15 February 2026 - AMENDED,St Kilda Entertainment Precinct,,,,,2026-02-15,2026-02-15,single_day_notice,parsed,FALSE,previous,St Kilda Entertainment Precinct - Sunday 15 February 2026 - AMENDED,,"This declaration will be in place from 10am to 10pm, on Sunday 15 February 2026.",2026-02-13,https://www.police.vic.gov.au/public-notice-st-kilda-entertainment-precinct-sunday-15-february-2026,https://www.police.vic.gov.au/public-notices,data-raw/vicpol-public-notices/20260925-142915/public-notice-st-kilda-entertainment-precinct-sunday-15-february-2026.html,2026-09-25T04:29:15Z,2026-09-25,TRUE
public-notice-st-kilda-festival-and-st-kilda-entertainment-precinct-sunday-15-february-2026,Public notice: St Kilda Festival and St Kilda Entertainment Precinct - Sunday 15 February 2026,St Kilda Festival and St Kilda Entertainment Precinct,,,,,2026-02-15,2026-02-15,single_day_notice,parsed,FALSE,previous,St Kilda Festival and St Kilda Entertainment Precinct - Sunday 15 February 2026,,"This declaration will be in place from 10am to 10pm, on Sunday 15 February 2026.",2026-02-13,https://www.police.vic.gov.au/public-notice-st-kilda-festival-and-st-kilda-entertainment-precinct-sunday-15-february-2026,https://www.police.vic.gov.au/public-notices,data-raw/vicpol-public-notices/20260925-142915/public-notice-st-kilda-festival-and-st-kilda-entertainment-precinct-sunday-15-february-2026.html,2026-09-25T04:29:15Z,2026-09-25,TRUE
public-notice-eastland-shopping-centre-monday-1-december-2025-saturday-28-february-2026,Public notice: Eastland Shopping Centre - Monday 1 December 2025 to Saturday 28 February 2026,Eastland Shopping Centre - Monday 1 December 20,Eastland,location_keyword,,,2026-02-25,2026-02-28,notice_date_range_shared_month,parsed,FALSE,previous,Eastland Shopping Centre - Monday 1 December 2025 to Saturday 28 February 2026,,This declaration will be in place from 8.00am Monday 1 December 2025 to 11.59pm Saturday 28 February 2026.,2025-12-05,https://www.police.vic.gov.au/public-notice-eastland-shopping-centre-monday-1-december-2025-saturday-28-february-2026,https://www.police.vic.gov.au/public-notices,data-raw/vicpol-public-notices/20260925-142915/public-notice-eastland-shopping-centre-monday-1-december-2025-saturday-28-february-2026.html,2026-09-25T04:29:15Z,2026-09-25,TRUE
public-notice-fountain-gate-shopping-precinct-monday-1-december-2025-saturday-28-february-2026,Public notice: Fountain Gate Shopping Precinct - Monday 1 December 2025 to Saturday 28 February 2026,Fountain Gate Shopping Precinct - Monday 1 December 20,Fountain Gate,location_keyword,,,2026-02-25,2026-02-28,notice_date_range_shared_month,parsed,FALSE,previous,Fountain Gate Shopping Precinct - Monday 1 December 2025 to Saturday 28 February 2026,,This declaration will be in place from 8.00am Monday 1 December 2025 to 11.59pm Saturday 28 February 2026.,2025-12-05,https://www.police.vic.gov.au/public-notice-fountain-gate-shopping-precinct-monday-1-december-2025-saturday-28-february-2026,https://www.police.vic.gov.au/public-notices,data-raw/vicpol-public-notices/20260925-142915/public-notice-fountain-gate-shopping-precinct-monday-1-december-2025-saturday-28-february-2026.html,2026-09-25T04:29:15Z,2026-09-25,TRUE
public-notice-highpoint-shopping-centre-monday-1-december-2025-saturday-28-february-2026,Public notice: Highpoint Shopping Centre - Monday 1 December 2025 to Saturday 28 February 2026,Highpoint Shopping Centre - Monday 1 December 20,Highpoint,location_keyword,,,2026-02-25,2026-02-28,notice_date_range_shared_month,parsed,FALSE,previous,Highpoint Shopping Centre - Monday 1 December 2025 to Saturday 28 February 2026,,This declaration will be in place from 8.00am Monday 1 December 2025 to 11.59pm Saturday 28 February 2026.,2025-12-05,https://www.police.vic.gov.au/public-notice-highpoint-shopping-centre-monday-1-december-2025-saturday-28-february-2026,https://www.police.vic.gov.au/public-notices,data-raw/vicpol-public-notices/20260925-142915/public-notice-highpoint-shopping-centre-monday-1-december-2025-saturday-28-february-2026.html,2026-09-25T04:29:15Z,2026-09-25,TRUE
public-notice-northland-shopping-centre-monday-1-december-2025-saturday-28-february-2026,Public notice: Northland Shopping Centre - Monday 1 December 2025 to Saturday 28 February 2026,Northland Shopping Centre - Monday 1 December 20,Northland,location_keyword,,,2026-02-25,2026-02-28,notice_date_range_shared_month,parsed,FALSE,previous,Northland Shopping Centre - Monday 1 December 2025 to Saturday 28 February 2026,,This declaration will be in place from 8.00am Monday 1 December 2025 to 11.59pm Saturday 28 February 2026.,2025-12-05,https://www.police.vic.gov.au/public-notice-northland-shopping-centre-monday-1-december-2025-saturday-28-february-2026,https://www.police.vic.gov.au/public-notices,data-raw/vicpol-public-notices/20260925-142915/public-notice-northland-shopping-centre-monday-1-december-2025-saturday-28-february-2026.html,2026-09-25T04:29:15Z,2026-09-25,TRUE
public-notice-bayside-centre-frankston-12-january-28-february-2026-designated-area-0,"Public notice: Bayside Centre, Frankston - Monday 12 January 2026 to Saturday 28 February 2026 - Designated area","Bayside Centre, Frankston - Monday 12 January 20",,,,,2026-02-26,2026-02-28,notice_date_range_shared_month,parsed,FALSE,previous,"Bayside Centre, Frankston - Monday 12 January 2026 to Saturday 28 February 2026","The area that is declared to be a designated area is all public places within Bayside Centre, Frankston being the area bordered by (and inclusive of)","The declared designated place will be in effect from 8.00 am on 12 January 2026, to 11.59 pm 28 February 2026 inclusive and relates to Operation Pulse.",2026-01-16,https://www.police.vic.gov.au/public-notice-bayside-centre-frankston-12-january-28-february-2026-designated-area-0,https://www.police.vic.gov.au/public-notices,data-raw/vicpol-public-notices/20260925-142915/public-notice-bayside-centre-frankston-12-january-28-february-2026-designated-area-0.html,2026-09-25T04:29:15Z,2026-09-25,TRUE
public-notice-bayside-centre-frankston-12-january-28-february-2026-designated-area-amended,"Public notice: Bayside Centre, Frankston - Monday 12 January 2026 to Saturday 28 February 2026 - Designated area (Amended)","Bayside Centre, Frankston - Monday 12 January 20",,,,,2026-02-26,2026-02-28,notice_date_range_shared_month,parsed,FALSE,previous,"Bayside Centre, Frankston - Monday 12 January 2026 to Saturday 28 February 2026 (Amended)","The area that is declared to be a designated area is all public places within Bayside Centre, Frankston being the area bordered by (and inclusive of):","The declared designated area will be in effect from 8am on 12 January, 2026 to 11.59pm 28 February, 2026, and relates to Operation Pulse.",2026-01-09,https://www.police.vic.gov.au/public-notice-bayside-centre-frankston-12-january-28-february-2026-designated-area-amended,https://www.police.vic.gov.au/public-notices,data-raw/vicpol-public-notices/20260925-142915/public-notice-bayside-centre-frankston-12-january-28-february-2026-designated-area-amended.html,2026-09-25T04:29:15Z,2026-09-25,TRUE
public-notice-dandenong-ramadan-night-market-thursday-26-february-monday-16-march-2026,Public notice: Dandenong Ramadan Night Market - Thursday 26 February to Monday 16 March 2026,Dandenong Ramadan Night Market,Dandenong Ramadan Night Market,simple_location_title,,,2026-02-26,2026-03-16,notice_date_range,parsed,FALSE,previous,Dandenong Ramadan Night Market - Thursday 26 February to Monday 16 March 2026,The area that is declared to be a designated area is all public places within the area bordered by (and inclusive of):,Public notice: Dandenong Ramadan Night Market - Thursday 26 February to Monday 16 March 2026,2026-02-25,https://www.police.vic.gov.au/public-notice-dandenong-ramadan-night-market-thursday-26-february-monday-16-march-2026,https://www.police.vic.gov.au/public-notices,data-raw/vicpol-public-notices/20260925-142915/public-notice-dandenong-ramadan-night-market-thursday-26-february-monday-16-march-2026.html,2026-09-25T04:29:15Z,2026-09-25,TRUE
public-notice-pacific-werribee-hoppers-crossing-12-january-28-february-2026-designated-area,"Public notice: Pacific Werribee, Hoppers Crossing - Monday 12 January 2026 to Saturday 28 February 2026 - Designated area","Pacific Werribee, Hoppers Crossing - Monday 12 January 20",,,,,2026-02-26,2026-02-28,notice_date_range_shared_month,parsed,FALSE,previous,"Pacific Werribee, Hoppers Crossing - Monday 12 January 2026 to Saturday 28 February 2026","The area that is declared to be a designated area is all public places within Pacific Werribee, Hoppers Crossing being the area bordered by (and inclusive of):","The declared designated area will be in effect from 8am on 12 January, 2026 to 11.59pm 28 February, 2026, and relates to Operation Pulse.",2026-01-08,https://www.police.vic.gov.au/public-notice-pacific-werribee-hoppers-crossing-12-january-28-february-2026-designated-area,https://www.police.vic.gov.au/public-notices,data-raw/vicpol-public-notices/20260925-142915/public-notice-pacific-werribee-hoppers-crossing-12-january-28-february-2026-designated-area.html,2026-09-25T04:29:15Z,2026-09-25,TRUE
public-notice-flinders-street-railway-station-and-federation-square-saturday-7-march-2026,Public notice: Flinders Street Railway Station and Federation Square - Saturday 7 March 2026,Flinders Street Railway Station and Federation Square,Flinders Street,location_keyword,,,2026-03-07,2026-03-07,notice_date_range,parsed,FALSE,previous,Flinders Street Railway Station and Federation Square - Saturday 7 March 2026,"The area that is declared to be a designated area is all public places within Flinders Street Railway Station and Federation Square, being the area bordered by (and inclusive of):",The declared designated area will be in effect from 9am on Saturday 7 March 2026 to 11pm Saturday 7 March 2026 inclusive.,2026-03-04,https://www.police.vic.gov.au/public-notice-flinders-street-railway-station-and-federation-square-saturday-7-march-2026,https://www.police.vic.gov.au/public-notices,data-raw/vicpol-public-notices/20260925-142915/public-notice-flinders-street-railway-station-and-federation-square-saturday-7-march-2026.html,2026-09-25T04:29:15Z,2026-09-25,TRUE
public-notice-melbourne-cbd-sunday-30-november-2025-friday-29-may-2026,Public notice: Melbourne CBD - Sunday 30 November 2025 to Friday 29 May 2026 - AMENDED,Melbourne CBD - Sunday 30 November 20,Melbourne,location_keyword,,,2026-05-25,2026-05-29,notice_date_range_shared_month,parsed,FALSE,previous,Sunday 30 November 2025 to Friday 29 May 2026 - Melbourne CBD - AMENDED,,This declaration will be in place from 12am Sunday 30 November 2025 to 11.59pm Friday 29 May 2026.,2026-01-08,https://www.police.vic.gov.au/public-notice-melbourne-cbd-sunday-30-november-2025-friday-29-may-2026,https://www.police.vic.gov.au/public-notices,data-raw/vicpol-public-notices/20260925-142915/public-notice-melbourne-cbd-sunday-30-november-2025-friday-29-may-2026.html,2026-09-25T04:29:15Z,2026-09-25,TRUE
public-notice-footscray-business-district-friday-19-june-2026,Public notice: Footscray Business District - Friday 19 June 2026,Footscray Business District,Footscray,location_keyword,,,2026-06-19,2026-06-19,notice_date_range,parsed,FALSE,previous,Footscray Business District - Friday 19 June 2026,The area that is declared to be a designated area is all public places within the Footscray Business District inclusive of the associated public transport facilities and Footscray Railway Station being the area boarded by (and inclusive of):,The declared designated area will be in effect from 2.00pm 19 June 2026 to 11.00pm 19 June 2026 inclusive.,2026-06-16,https://www.police.vic.gov.au/public-notice-footscray-business-district-friday-19-june-2026,https://www.police.vic.gov.au/public-notices,data-raw/vicpol-public-notices/20260925-142915/public-notice-footscray-business-district-friday-19-june-2026.html,2026-09-25T04:29:15Z,2026-09-25,TRUE
public-notice-geelong-cbd-eastern-beach-foreshore-friday-10-july-2026,Public notice: Geelong Central Business District and Eastern Beach Foreshore - Friday 10 July 2026,Geelong Central Business District and Eastern Beach Foreshore,Geelong,location_keyword,,,2026-07-10,2026-07-10,notice_date_range,parsed,FALSE,previous,Geelong Central Business District and Eastern Beach Foreshore - Friday 10 July 2026,"The area that is declared to be a designated area is all public places within and around the Geelong Central Business District, Eastern Beach foreshore and associated piers and carparks and public transport hubs Geelong Railway Station and Moorabool Street bus terminals, Geelong, being the area bordered by (and inclusive of):",The declared designated area will be in effect from 10.00am on 10 July 2026 to 10.00pm on 10 July 2026 inclusive.,2026-07-09,https://www.police.vic.gov.au/public-notice-geelong-cbd-eastern-beach-foreshore-friday-10-july-2026,https://www.police.vic.gov.au/public-notices,data-raw/vicpol-public-notices/20260925-142915/public-notice-geelong-cbd-eastern-beach-foreshore-friday-10-july-2026.html,2026-09-25T04:29:15Z,2026-09-25,TRUE
public-notice-warragul-central-business-district-friday-24-july-2026,Public notice: Warragul Central Business District - Friday 24 July 2026,Warragul Central Business District,Warragul,location_keyword,,,2026-07-24,2026-07-24,notice_date_range,parsed,FALSE,previous,Warragul Central Business District - Friday 24 July 2026,The area that is declared to be a Designated Area is all public places within the Warragul Central Business District inclusive of the associated public transport facilities and Warragul Railway Station being the area bordered by (and inclusive of):,The declared designated area will be in effect from 2pm on 24 July 2026 to 9.30pm on 24 July 2026 inclusive.,2026-07-23,https://www.police.vic.gov.au/public-notice-warragul-central-business-district-friday-24-july-2026,https://www.police.vic.gov.au/public-notices,data-raw/vicpol-public-notices/20260925-142915/public-notice-warragul-central-business-district-friday-24-july-2026.html,2026-09-25T04:29:15Z,2026-09-25,TRUE
public-notice-northland-shopping-centre-preston-thursday-17-september-2026,"Public notice: Northland Shopping Centre, Preston - Thursday 17 September 2026","Northland Shopping Centre, Preston",Preston,title_after_comma,,,2026-09-17,2026-09-17,single_day_notice,parsed,FALSE,previous,"Northland Shopping Centre, Preston -Thursday 17 September 2026","The area that is declared to be a Designated Area is all public places within Northland Shopping Centre, Preston, including associated car parks and direct surrounds, being the area bordered by and inclusive of:",The declared designated area will be in effect from 10am to 11pm on 17 September 2026 inclusive.,2026-09-15,https://www.police.vic.gov.au/public-notice-northland-shopping-centre-preston-thursday-17-september-2026,https://www.police.vic.gov.au/public-notices,data-raw/vicpol-public-notices/20260925-142915/public-notice-northland-shopping-centre-preston-thursday-17-september-2026.html,2026-09-25T04:29:15Z,2026-09-25,TRUE
public-notice-stockland-wendouree-shopping-centre-wendouree-thursday-24-september-2026,"Public notice: Stockland Wendouree Shopping Centre, Wendouree - Thursday 24 September 2026","Stockland Wendouree Shopping Centre, Wendouree",Wendouree,title_after_comma,,,2026-09-24,2026-09-24,notice_date_range,parsed,TRUE,current,"Public notice: Stockland Wendouree Shopping Centre, Wendouree - Thursday 24 September 2026","The area that is declared to be a designated area is all public places within Stockland Wendouree Shopping Centre (including carparks), Wendouree, being the area bordered by (and inclusive of):",The declared designated area will be in effect from 11am on Thursday 24 September 2026 to 9pm on Thursday 24 September 2026 inclusive.,2026-09-21,https://www.police.vic.gov.au/public-notice-stockland-wendouree-shopping-centre-wendouree-thursday-24-september-2026,https://www.police.vic.gov.au/public-notices,data-raw/vicpol-public-notices/20260925-142915/public-notice-stockland-wendouree-shopping-centre-wendouree-thursday-24-september-2026.html,2026-09-25T04:29:15Z,2026-09-25,TRUE
public-notice-waurn-ponds-shopping-centre-precinct-waurn-ponds-wednesday-30-september-2026,"Public notice: Waurn Ponds Shopping Centre Precinct, Waurn Ponds - Wednesday 30 September 2026","Waurn Ponds Shopping Centre Precinct, Waurn Ponds",Waurn Ponds,title_after_comma,,,2026-09-30,2026-09-30,notice_date_range,parsed,TRUE,current,"Public notice: Waurn Ponds Shopping Centre Precinct, Waurn Ponds - Wednesday 30 September 2026","The area that is declared to be a designated area is all public places within and around the Waurn Ponds shopping centre precinct, Waurn Ponds Hotel precinct, and Waurn Ponds Skate Park, Waurn Ponds, being the area bordered by (and inclusive of):",The declared designated area will be in effect from 10am on 30 September 2026 to 10pm on 30 September 2026 inclusive.,2026-09-24,https://www.police.vic.gov.au/public-notice-waurn-ponds-shopping-centre-precinct-waurn-ponds-wednesday-30-september-2026,https://www.police.vic.gov.au/public-notices,data-raw/vicpol-public-notices/20260925-142915/public-notice-waurn-ponds-shopping-centre-precinct-waurn-ponds-wednesday-30-september-2026.html,2026-09-25T04:29:15Z,2026-09-25,TRUE
public-notice-eastland-shopping-centre-ringwood-thursday-1-october-2026,"Public notice: Eastland Shopping Centre, Ringwood - Thursday 1 October, 2026","Eastland Shopping Centre, Ringwood",Ringwood,title_after_comma,,,2026-10-01,2026-10-01,notice_date_range,parsed,TRUE,current,"Public notice: Eastland Shopping Centre, Ringwood - Thursday 1 October, 2026","The area that is declared to be a designated area is all public places within and around Eastland Shopping Centre (including carparks), Ringwood, being the area bordered by (and inclusive of):",The declared designated area will be in effect from 11am on 1 October 2026 to 7pm on 1 October 2026 inclusive.,2026-09-24,https://www.police.vic.gov.au/public-notice-eastland-shopping-centre-ringwood-thursday-1-october-2026,https://www.police.vic.gov.au/public-notices,data-raw/vicpol-public-notices/20260925-142915/public-notice-eastland-shopping-centre-ringwood-thursday-1-october-2026.html,2026-09-25T04:29:15Z,2026-09-25,TRUE
